_id,name,asset_type,location_id,street_address,city,latitude,longitude
35247907,TARENTUM SENIOR HOUSING aka Daltons Edge,affordable_housing,2282.0,700 2nd Ave,Tarentum,40.603461,-79.7454215
35247908,SWISSVALE TOWERS,affordable_housing,2247.0,1826 Monongahela Ave,Pittsburgh,40.4222582212,-79.8906437112
35247909,SWEETBRIAR PLACE,affordable_housing,2246.0,211 Sweetbriar St,Pittsburgh,40.4379147316,-80.0217351115
35247910,SUSQUEHANNA HOMES,affordable_housing,2245.0,7235 Tioga Street,Pittsburgh,40.4537542481,-79.8963268782
35247911,STO-ROX PLAZA,affordable_housing,2244.0,731 Chartiers Ave,Pittsburgh,40.441914,-80.038494
35247912,American Serbian Club,community_nonprofit_orgs,374.0,2524 SARAH ST,PITTSBURGH,40.426468,-79.969303
35247913,"Christ United Methodist Church, Bethel Park",community_nonprofit_orgs,231.0,44 HIGHLAND RD,BETHEL PARK,40.348504,-80.048385
35247914,Community Kitchen Pittsburgh (Hazelwood),community_nonprofit_orgs,254.0,107 FLOWERS AVE,PITTSBURGH,40.410187,-79.943718
35247915,Crescent Township Volunteer Fire Department,community_nonprofit_orgs,146.0,79 MCGOVERN BLVD,CRESCENT,40.556081,-80.221063
35247916,Economy Volunteer Fire Department 1 Station 69,community_nonprofit_orgs,368.0,3308 CONWAY WALLROSE RD,ECONOMY,40.632601,-80.160665
35247917,Harrington's,community_nonprofit_orgs,327.0,717 ROBINSON HWY,MC DONALD,40.381131,-80.261538
35247918,"Holy Redeemer, Ellwood City - Takeout-only pizza and pierogie sale",community_nonprofit_orgs,318.0,311 LAWRENCE AVE,ELLWOOD CITY,40.870378,-80.283785
35247919,"Immaculate Conception, Washington",community_nonprofit_orgs,250.0,119 W CHESTNUT ST,WASHINGTON,40.172023,-80.248403
35247920,Keith Heinritz Katering,community_nonprofit_orgs,292.0,209 BRINTON AVE,TRAFFORD,40.382784,-79.762428
35247921,Mount St. Peter,community_nonprofit_orgs,257.0,100 FREEPORT RD,NEW KENSINGTON,40.563602,-79.761143
35247922,New Alexandria Volunteer Fire Department,community_nonprofit_orgs,298.0,8370 STATE ROUTE 22,NEW ALEXANDRIA,40.401498,-79.415829
35247923,MANATAWNY MANOR,nursing_homes,4147.0,30 OLD SCHUYLKILL ROAD,POTTSTOWN,40.225984,-75.623054
35247924,MAJESTIC OAKS REHAB & NURSING CENTER,nursing_homes,3901.0,333 NEWTOWN ROAD,WARMINSTER,40.18542,-75.076888
35247925,STEELWORKERS TOWER,affordable_housing,2243.0,2639 Perrysville Ave,Pittsburgh,40.471722,-80.010459
35247926,STATE MANOR APTS,affordable_housing,2064.0,1020 State Ave,Coraopolis,40.517031993,-80.1646006008
35247927,ST THERESE PLAZA,affordable_housing,2116.0,4 St Therese Ct,Homestead,40.387815934,-79.901859038
35247928,ST JUSTIN PLAZA,affordable_housing,2242.0,120 Boggs Ave,Pittsburgh,40.4266999637,-80.0068795237
35247929,MARIAN PLAZA,affordable_housing,2209.0,8601 Bricelyn St,Pittsburgh,40.4589114888,-79.8737273109
35247930,"Queen of the Rosary, Glassport",community_nonprofit_orgs,227.0,530 MICHIGAN AVE,GLASSPORT,40.327075,-79.890492
35247931,"Riverview Church, on Pittsburgh's North Side",community_nonprofit_orgs,317.0,3505 PERRYSVILLE AVE,PITTSBURGH,40.484124,-80.014374
35247932,"Sacred Heart Church of  Immaculate Conception Parish, Claysville",community_nonprofit_orgs,323.0,RT 40 AND S,CLAYSVILLE,40.116334,-80.415484
35247933,St. Bernadette (Monroeville),community_nonprofit_orgs,367.0,245 AZALEA DR,MONROEVILLE,40.441257,-79.771866
35247934,St. Iranaeus,community_nonprofit_orgs,288.0,387 MARYLAND AVE,OAKMONT,40.519276,-79.841161
35247935,St. Joseph (Coraopolis),community_nonprofit_orgs,236.0,1313 5TH AVE,CORAOPOLIS,40.515674,-80.15899
35247936,St. Mary Parish,community_nonprofit_orgs,372.0,10 SAINT MARYS LN,CECIL,40.328668,-80.184821
35247937,Armstrong Playground (Play Area 5 to 12),parks_and_facilities,9412.0,Carson St,Pittsburgh,40.42821987,-79.98613126
35247938,MANORCARE HEALTH SERVICES - WEST ALLEN,nursing_homes,4110.0,535 NORTH 17TH STREET,ALLENTOWN,40.604804,-75.495493
35247939,MANORCARE HEALTH SERVICES - WALLINGFORD,nursing_homes,3958.0,115 SOUTH PROVIDENCE ROAD,WALLINGFORD,39.897344,-75.373214
35247940,MANOR AT SUSQUEHANNA VILLAGE,nursing_homes,3751.0,990 MEDICAL ROAD,MILLERSBURG,40.551645,-76.9513
35247941,MANOR AT PERRY VILLAGE,nursing_homes,3754.0,213 EAST MAIN STREET,NEW BLOOMFIELD,40.421128,-77.179457
35247942,MANOR AT PENN VILLAGE,nursing_homes,4069.0,51 ROUTE 204,SELINSGROVE,40.810291,-76.867446
35247943,Fineview Playground (Whirl),parks_and_facilities,88446.0,63 Edenvale St,Pittsburgh,40.46189553,-80.00356468
35247944,MANCHESTER PHASE III,affordable_housing,2207.0,1100 & 1111 Sheffield St,Pittsburgh,40.453869867,-80.0215606311
35247945,MANCHESTER HOPE,affordable_housing,2205.0,Scattered Sites,Pittsburgh,40.458327,-80.0287685
35247946,LEXINGTON MANOR,affordable_housing,2075.0,300 Lexington Ct,Imperial,40.4454435041,-80.2619414798
35247947,Frick Beechwood Playground (Swing 2 Bays),parks_and_facilities,9468.0,2515 Beechwood Blvd,Pittsburgh,40.4300101,-79.91515805
